logprice  Coefficient,Std. err.,z,P>z,[95% conf.,interval],
,,,,,,
post,0.0586216,0.0263796,2.22,0.026,0.0069186,0.1103246
incp,-0.0035884,0.0015555,-2.31,0.021,-0.0066372,-0.0005397
pop_intensity,0.0000556,0.0001024,0.54,0.587,-0.000145,0.0002563
x65_happening,0.0040903,0.0042589,0.96,0.337,-0.0042569,0.0124375
residential,0,(omitted),,,,
yr1,-1.844206,0.907351,-2.03,0.042,-3.622581,-0.0658303
yr2,-1.74926,0.907598,-1.93,0.054,-3.52812,0.0295991
yr3,-1.634067,0.9075805,-1.8,0.072,-3.412892,0.1447585
yr4,-1.532655,0.907964,-1.69,0.091,-3.312232,0.2469215
yr5,-1.452691,0.9082272,-1.6,0.11,-3.232784,0.3274016
yr6,-1.377829,0.9094464,-1.52,0.13,-3.160311,0.4046533
yr7,-1.286359,0.9078093,-1.42,0.156,-3.065632,0.4929149
yr8,-1.174994,0.9084251,-1.29,0.196,-2.955475,0.6054862
yr9,-1.085284,0.9076876,-1.2,0.232,-2.864319,0.6937512
yr10,-0.9946602,0.9080366,-1.1,0.273,-2.774379,0.7850588
yr11,-0.915401,0.9076277,-1.01,0.313,-2.694319,0.8635166
yr12,-0.8996854,0.9077056,-0.99,0.322,-2.678756,0.8793849
yr13,-0.8311482,0.9092143,-0.91,0.361,-2.613175,0.9508791
yr14,-0.7521106,0.9079952,-0.83,0.407,-2.531749,1.027527
yr15,-0.6936718,0.9068399,-0.76,0.444,-2.471045,1.083702
yr16,-0.6642998,0.9058406,-0.73,0.463,-2.439715,1.111115
yr17,-0.57154,0.9058501,-0.63,0.528,-2.346973,1.203893
yr18,-0.4934399,0.9047009,-0.55,0.585,-2.266621,1.279741
yr19,-0.4248457,0.9044248,-0.47,0.639,-2.197486,1.347794
yr20,-0.3310431,0.9054791,-0.37,0.715,-2.105749,1.443663
yr21,-0.2513188,0.9040178,-0.28,0.781,-2.023161,1.520524
yr22,-0.1852909,0.9042056,-0.2,0.838,-1.957501,1.58692
yr23,-0.0973456,0.9016255,-0.11,0.914,-1.864499,1.669808
yr24,0,0.9007315,0,1,-1.765401,1.765401
mnth1,0,0.0396234,0,1,-0.0776604,0.0776604
mnth2,0.006469,0.0396572,0.16,0.87,-0.0712577,0.0841956
mnth3,0.0330043,0.0399866,0.83,0.409,-0.045368,0.1113766
mnth4,0.046813,0.040056,1.17,0.243,-0.0316953,0.1253213
mnth5,0.0653655,0.0401349,1.63,0.103,-0.0132975,0.1440284
mnth6,0.0831082,0.0401141,2.07,0.038,0.0044859,0.1617304
mnth7,0.0815395,0.0401308,2.03,0.042,0.0028846,0.1601944
mnth8,0.0832708,0.0399136,2.09,0.037,0.0050416,0.1615001
mnth9,0.0798192,0.0398458,2,0.045,0.0017228,0.1579156
mnth10,0.0775284,0.0397994,1.95,0.051,-0.000477,0.1555339
mnth11,0.0796247,0.0399357,1.99,0.046,0.0013521,0.1578973
mnth12,0.0759845,0.0399094,1.9,0.057,-0.0022365,0.1542055
whiteshare,0.0028761,0.0011544,2.49,0.013,0.0006136,0.0051387
